Traffic_Source,Time_Spent_on_Funnel_Stages,Bounce_Rate,Interactions,Number_of_Visits_Before_Conversion,Cart_Abandonment_Rate,Purchase_History,Device_Type,Time_of_Day,Discount_Usage,Loyalty_Score,Noise_Feature_1,Noise_Feature_2,Conversion
Organic Search,13.5523434273072,0.5532275169053356,2,2,0.7658697640105556,No,Mobile,Night,No,4.9344012185093815,0.19578448414280514,43,1
Paid Ads,4.502077442958617,0.0,1,1,0.6822430923952151,Yes,Mobile,Afternoon,Yes,4.423272873149195,0.10722620399060911,65,0
Direct,8.308071550245762,0.6655109301418473,3,5,0.4119564060049357,No,Desktop,Morning,Yes,6.513236637117489,0.9623252364716893,50,1
Direct,8.743538845705475,0.36861103894456426,5,4,0.2254274224153282,Yes,Desktop,Afternoon,Yes,4.550064754920005,0.1813821040763729,65,1
Direct,4.789038354044488,0.42835531215989786,5,1,0.6999446302587373,No,Desktop,Evening,No,6.676874239521586,0.7172880584628069,48,1
Organic Search,10.060482486358516,0.3358964552668061,10,4,0.410631590009797,No,Desktop,Evening,No,5.8449594980365,0.19544163344563836,41,1
Social Media,6.805018961355116,0.6791414963735012,7,1,0.4211467680886144,Yes,Desktop,Afternoon,Yes,7.8066798413404594,0.23116833063004472,24,1
Direct,1.0,0.18785367520889326,5,2,0.4392894527304595,Yes,Mobile,Afternoon,No,5.836108567707972,0.1138766183530352,23,0
Organic Search,9.979548836313695,0.6948920653213672,3,1,0.888279198650884,No,Mobile,Afternoon,Yes,7.419081019281215,0.918479216374572,86,1
Direct,4.649177347692909,0.4792541841890222,8,2,0.5935931030237711,No,Mobile,Evening,No,5.73199161999591,0.9039686057491537,90,0
Social Media,4.856675161582703,0.5245328431836316,1,1,0.660345126439873,No,Desktop,Afternoon,No,7.691625707682192,0.13871716039122728,86,0
Direct,10.063706248677194,0.3341590873342168,10,5,0.7931972669092189,No,Desktop,Afternoon,No,5.492765527973008,0.6813521035568995,63,1
Organic Search,6.95851555274465,0.1383561604207259,1,4,0.5599695445004714,No,Desktop,Evening,No,4.347044429841864,0.6123457995388853,13,1
Paid Ads,10.7533164516545,0.5861021531072204,4,3,0.39468247000719764,No,Mobile,Afternoon,Yes,7.057838910757413,0.2242123647462354,41,1
Paid Ads,11.630498286095957,0.4622816702378662,6,1,0.2358383171233041,Yes,Mobile,Morning,Yes,6.4347775954359125,0.2872765073352044,26,1
Organic Search,6.065214619033107,0.6723246916617636,5,3,0.4116421368309754,No,Mobile,Evening,No,5.5760367086189735,0.5308385289115086,65,0
Organic Search,10.37978748786509,0.3612447359568604,7,3,0.5594961065131843,No,Mobile,Afternoon,Yes,3.774954688784975,0.4437304218916278,3,1
Organic Search,5.733617595821355,0.31615372422021704,8,2,0.6037422263143277,Yes,Mobile,Evening,Yes,3.7941558209963757,0.3581878174929929,30,1
Direct,14.69934775139653,0.6776176473280604,3,3,0.43590118592691685,No,Mobile,Night,Yes,7.547023407006385,0.42075325325706425,91,1
Direct,5.921128986406355,0.7823788328994888,5,3,0.36432134757175694,No,Mobile,Night,Yes,5.245752965602479,0.6006027683241718,84,1
Organic Search,11.078262322880011,0.401869435273146,8,5,0.4399613181688832,No,Mobile,Night,No,5.62637096532838,0.004008992660486821,3,1
Direct,10.531370077644727,0.2494485006285788,7,4,0.41569989221909665,Yes,Desktop,Evening,No,5.344120604311908,0.7232694446779103,87,1
Direct,8.948263466326802,0.5621061525579099,9,5,0.7335345619477369,No,Mobile,Afternoon,Yes,4.097054780725499,0.2622570111954118,21,1
Organic Search,5.988370515749951,0.34919588676586516,2,1,0.729080325770534,Yes,Mobile,Afternoon,No,1.8494832880849743,0.924969318289448,18,1
Social Media,7.545807524175772,0.5198525650801598,8,6,0.5848497053287658,No,Mobile,Afternoon,No,2.902626851367061,0.9115822018407289,91,0
Organic Search,1.5392356611663445,0.34814480512424933,3,2,0.39129453064577197,No,Mobile,Evening,Yes,3.0713562347971264,0.07232092345682994,33,0
Direct,8.673260115146752,0.7128028036423627,4,5,0.537905625987086,No,Mobile,Evening,Yes,7.137933597005402,0.4313897074330153,54,0
Direct,9.048845993085155,0.2601020989898601,2,4,0.7152169600757157,No,Mobile,Afternoon,Yes,3.549230670857263,0.4454970664047605,41,1
Social Media,8.400498257184115,0.49610593250439206,7,3,0.5233848989872453,No,Mobile,Afternoon,Yes,6.7952821371743894,0.5030821387579298,59,1
Direct,1.0,0.30225960595357526,2,3,0.5536934496607295,Yes,Mobile,Evening,No,9.173915024564849,0.07934813242034466,54,0
Direct,4.203090664730567,0.3436986877158462,4,7,0.5862061421046594,No,Desktop,Afternoon,No,6.6029769929307065,0.5210194759943012,9,1
Organic Search,5.755727051454012,0.3175888690478847,4,6,0.4998020359109675,No,Tablet,Afternoon,No,3.0096710641876623,0.5216090054231424,56,1
Organic Search,8.874976799567138,0.5477216132186831,4,3,0.5956235715148365,No,Mobile,Afternoon,Yes,3.72563982994681,0.8072640212608344,29,1
Organic Search,8.868016716928953,0.5836726229867742,6,3,0.2259474211633946,No,Desktop,Afternoon,No,4.395692766061125,0.847136448146329,71,1
Direct,7.489328624086462,0.5115477657864742,8,1,0.40481860866941133,No,Mobile,Morning,Yes,8.841373112530619,0.09514438371646328,58,1
Direct,9.90573660981187,0.37840330665094596,1,1,0.7277930215059655,No,Desktop,Night,Yes,3.3555960116733954,0.52249601943363,13,1
Social Media,4.9212728740913,0.42803600620031856,2,2,0.4729240864359986,Yes,Mobile,Evening,No,5.145083439791322,0.2346693237573425,29,0
Direct,9.83070501708199,0.579544313691885,2,2,0.6541215475647216,No,Mobile,Afternoon,No,1.4334508282124196,0.3339502337469761,36,1
Organic Search,9.424226314519673,0.5858623174415211,1,4,0.3990685523536148,Yes,Mobile,Evening,No,6.124151745665853,0.6453943977375943,89,1
Paid Ads,9.132664198513732,0.0,4,7,0.5834028398901352,No,Mobile,Morning,Yes,3.747931760391019,0.13071966871513663,18,1
Organic Search,7.4538787067430325,0.34555556564546086,8,1,0.32215421785983545,No,Mobile,Morning,No,7.504171697840123,0.8883940655964805,67,1
Organic Search,13.492231474493785,0.3551482417121029,2,1,0.5291365253645953,No,Desktop,Evening,Yes,2.842571957916279,0.9299590842064498,57,1
Direct,9.479587065469635,0.5338505128252324,2,3,0.21777791271354785,No,Desktop,Afternoon,No,2.5847938284397034,0.2480116255211935,4,0
Organic Search,5.094992410239323,0.3866458364578509,5,1,0.7748110673393807,Yes,Desktop,Evening,No,2.698490511682571,0.2678802888197458,94,0
Paid Ads,8.744916427207952,0.5438366761898574,3,5,0.6551851889525802,No,Mobile,Evening,Yes,7.043393595752061,0.17115366088177586,88,1
Social Media,10.257450131222654,0.18426784579388955,4,4,0.6646587680700061,No,Mobile,Night,No,5.613416460840168,0.4061472088826107,10,1
Direct,6.235674203227071,0.4520109030921561,6,4,0.4031388140391231,No,Mobile,Afternoon,No,8.047869087696627,0.08833696428269322,51,1
Direct,11.267816740793297,0.5800411306900989,7,1,0.5145058380771339,Yes,Mobile,Morning,No,2.8599921069750884,0.10403021013879132,52,1
Social Media,9.146101117148032,0.10512342613637038,7,1,0.47317299557387027,No,Mobile,Afternoon,No,3.28499417889625,0.2443714290063259,96,1
Paid Ads,1.0,0.9027286936417807,2,5,0.0,No,Mobile,Morning,Yes,2.625300826292905,0.2825229895199316,44,1
Paid Ads,8.899015932013778,0.6381771865733039,7,1,0.34625014665144027,No,Desktop,Afternoon,No,2.7887912153637497,0.9637411370317875,86,0
Direct,6.781912536761854,0.40027066049312837,2,3,0.4322249794844062,No,Desktop,Evening,Yes,7.742895490646033,0.027285264966356304,33,1
Organic Search,9.611539443625208,0.23431837855224638,3,1,0.5309293955004074,No,Mobile,Afternoon,No,5.869650083580531,0.7133402888179401,77,1
Paid Ads,10.832644520755442,0.36498296994525886,4,1,0.4252313863038716,No,Tablet,Morning,Yes,6.374368194185714,0.999431710329166,60,1
Organic Search,8.585486141425454,0.4167604719222681,1,2,0.6156920256917408,No,Mobile,Afternoon,No,3.660582525782849,0.5801913950549481,17,0
Organic Search,12.995756701834086,0.48813251136240954,3,8,0.3877215479283332,Yes,Mobile,Evening,Yes,4.931471811713325,0.47899380516296974,36,1
Direct,7.463879346309513,0.7001321698920062,9,3,0.6990317994995803,No,Mobile,Evening,No,4.828012189549281,0.9164564149752354,8,1
Organic Search,9.874453469161626,0.3047803061114308,1,4,0.5701777434318157,Yes,Desktop,Afternoon,Yes,4.260618338123847,0.5161852240851255,20,1
Direct,10.414827720912042,0.5125419675145123,2,2,0.5391643487090716,No,Desktop,Evening,No,4.752015944443973,0.21196803763947425,4,1
Organic Search,7.707962093321802,0.14151416747997742,6,5,0.2885774024233416,No,Mobile,Morning,No,3.684155595062875,0.4845279565040149,49,1
Social Media,10.336322923933347,0.31727985713494655,3,5,0.6525186879233706,No,Mobile,Evening,Yes,5.118959408080287,0.2961152870832183,85,1
Organic Search,6.215981038513494,0.47534336957387174,5,3,0.7135719243737395,No,Mobile,Morning,Yes,7.613955877825662,0.8843129171941805,51,1
Paid Ads,6.732294742936345,0.5382524982017609,6,1,0.7134446345855765,Yes,Desktop,Afternoon,Yes,7.561009720338395,0.3985624266278418,2,0
Direct,4.062533928991063,0.24935350466707606,2,3,0.4708189297080231,No,Desktop,Afternoon,No,4.546744986235631,0.005607747894198156,77,0
Organic Search,8.72422734911014,0.3118416607976172,6,4,0.5508219602690032,No,Mobile,Afternoon,No,4.197776805071176,0.8934703394890215,97,1
Social Media,8.975755027563032,0.6921113271167092,7,4,0.521583831181909,Yes,Mobile,Morning,Yes,5.787702256580763,0.02895652475715882,53,1
Direct,11.537789475737688,0.6323817239256091,8,2,0.09839310727149381,Yes,Mobile,Evening,Yes,7.7861688086954395,0.60356307444097,61,1
Direct,10.373420013067651,0.4416914434104733,5,4,0.6536252531950233,Yes,Mobile,Afternoon,Yes,4.4301379081210674,0.0317664953363489,17,1
Organic Search,7.1456133300577,0.0,5,2,0.43497885885483156,No,Desktop,Night,No,10.0,0.8018872691227188,57,1
Direct,4.465460937997169,0.9022265095380018,8,5,0.5138721188895764,Yes,Desktop,Night,Yes,6.051327944675309,0.5475481948442704,69,1
Paid Ads,9.298551207559921,0.396013687668551,8,3,0.30530869221415347,No,Mobile,Afternoon,Yes,5.243709085884776,0.16788855391697888,64,1
Social Media,11.332259517243926,0.33748658839573464,8,1,0.16409010855615813,No,Desktop,Afternoon,Yes,7.655166596819003,0.4599493360921184,80,1
Organic Search,10.26555492141183,0.29552801482917707,5,4,0.6191656508928574,No,Desktop,Evening,No,3.798992141661266,0.8662111273469475,17,1
Direct,11.253432574571862,0.47527340743982177,5,3,0.6613004385284171,No,Mobile,Morning,Yes,6.638878288659154,0.4897790959827272,32,1
Organic Search,7.364331406405272,0.477316517834186,5,2,0.46238028467633707,No,Mobile,Morning,No,5.5005578482085955,0.38392435606524367,62,0
Paid Ads,6.600143095473063,0.5901255746253025,5,2,0.5631754637157482,Yes,Mobile,Morning,Yes,2.0984068219720733,0.9803257119565294,83,1
Direct,5.789295943304603,0.2147875671301974,5,1,0.25634523126667047,No,Mobile,Night,No,2.1618924418154912,0.6180254103532833,46,0
Organic Search,7.8323106001592135,0.3375010243717478,7,1,0.49300540046683694,No,Mobile,Afternoon,No,4.41744900141664,0.31143184369806187,87,1
Organic Search,7.764227612093542,0.8061091446448405,6,1,0.5638760880312517,Yes,Mobile,Evening,No,3.535659612287389,0.5404008920260089,17,1
Organic Search,8.620032885617348,0.4449181266499984,2,4,0.7598863670375227,Yes,Tablet,Morning,No,1.8865431694404453,0.7419774846438021,3,1
Direct,7.612107628893476,0.36549512533465073,2,4,0.5178475088260432,No,Desktop,Morning,No,4.552706863969516,0.8600349694098836,56,0
Paid Ads,7.5991168108196865,0.21167644688325968,2,1,0.23682354343336776,Yes,Mobile,Evening,No,6.231840171081324,0.802963136795603,39,1
Direct,5.669917841083569,0.5011868611641503,4,2,0.869136621701528,Yes,Mobile,Evening,No,3.3676668400512284,0.1495755971700642,71,1
Direct,10.824857040654472,0.6062036434084889,4,3,0.5990001669928109,No,Desktop,Evening,No,5.776205868459568,0.5569055283636358,50,1
Paid Ads,8.229554186731134,0.5749175291619615,5,4,0.5954875188172996,No,Mobile,Afternoon,No,5.1887833558815295,0.5322810097327675,39,1
Paid Ads,7.4766681971441535,0.3482398272782167,11,1,0.46422028053973163,Yes,Mobile,Evening,No,6.528845348826545,0.09488651601277587,28,1
Direct,5.757712240252386,0.47225045667270726,5,1,0.22401674455916332,No,Mobile,Evening,No,3.873665062007224,0.24557198725948215,51,1
Direct,4.004260668826742,0.7343318873297223,6,1,0.5060273442953559,No,Mobile,Night,No,6.025765852788567,0.025808774321286143,54,0
Direct,11.923892577648031,0.6141764584342938,3,1,0.41641913975762496,No,Mobile,Afternoon,Yes,5.597156926144474,0.6191668198095741,87,1
Direct,9.66391612439542,0.2431674515613361,4,5,0.6686277597977885,No,Desktop,Afternoon,No,1.944181586302768,0.31114730687877223,73,1
Direct,3.1282464722900984,0.0,7,3,0.3841077519485313,Yes,Mobile,Evening,Yes,4.6016134096906764,0.29042342240041774,84,1
Direct,10.289426902128971,0.459354501416847,7,4,0.3104291809160008,No,Tablet,Evening,No,5.69439930516959,0.028786928365067355,0,0
Organic Search,10.767443510699326,0.5597136253496866,4,1,0.5321199607899627,No,Desktop,Afternoon,Yes,7.12145746118934,0.6474176356008776,58,1
Paid Ads,8.373128366902788,0.1821551016253475,6,3,0.42317511781451234,Yes,Tablet,Afternoon,No,9.627355724694645,0.37053803459342316,47,1
Organic Search,12.794332687255277,0.3982420955754445,5,3,0.4180902763594886,Yes,Mobile,Afternoon,No,4.320732009348108,0.9169546355105963,98,1
Organic Search,8.650158926368649,0.3472601868253843,4,2,0.42718234684419976,No,Desktop,Afternoon,No,4.436950860761842,0.8434459954293626,92,0
Direct,3.7495294161524306,0.4208572644464398,1,5,0.6761842676104186,No,Mobile,Afternoon,No,4.553691970629016,0.15872162971482773,97,1
Social Media,9.095507003144963,0.2910607425760575,6,3,0.25973820149452864,No,Mobile,Evening,Yes,2.5879172547982248,0.6092801605275975,71,0
Paid Ads,8.734691905138188,0.6581021995255987,4,3,0.48330702182478125,No,Mobile,Afternoon,No,5.692768382986541,0.5978397843735216,34,0
Paid Ads,6.190109453665535,0.42959377612655253,4,2,0.35854945819385375,Yes,Tablet,Evening,No,5.319486424969764,0.3390179777096438,38,0
Paid Ads,9.720676510632275,0.22419662276705002,6,1,0.3564083961980708,Yes,Mobile,Morning,No,3.6472209593052356,0.13667506771858384,12,1
Social Media,2.997004201427414,0.5834924307187441,3,3,0.3191757217261539,No,Mobile,Afternoon,No,6.38371130147172,0.42483135030639096,45,0
Organic Search,10.97170048232837,0.147162480801659,2,3,0.7930561254611027,No,Desktop,Afternoon,Yes,2.030521523249569,0.5225947091573162,21,1
Direct,5.365634889183642,0.6568988755070266,4,2,0.37443862498628083,Yes,Desktop,Evening,No,1.9823314970841408,0.5982397187248629,96,0
Organic Search,5.045161624648903,0.5982118848445128,8,5,0.5202207702471309,No,Mobile,Evening,No,6.414765194230711,0.12125876884181475,99,1
Paid Ads,7.65852568307757,0.6779550590641572,7,2,0.7980564562526888,No,Mobile,Afternoon,No,5.628011748685767,0.5651932130718813,24,1
Paid Ads,9.298918784130906,0.36835072551167686,7,4,0.5550903512880226,No,Mobile,Afternoon,Yes,6.927808831914891,0.9502763333253579,91,1
Organic Search,8.491772190780289,0.3007772040433247,3,1,0.12259133346391937,No,Desktop,Morning,Yes,6.843413269484886,0.2016957709249827,68,1
Direct,5.772022502682866,0.41680435218661865,1,1,0.6437554891849657,No,Mobile,Afternoon,Yes,5.521755402620176,0.516199215238924,30,0
Organic Search,6.481732126424335,0.3831126427288937,5,1,0.30621050404657324,No,Desktop,Afternoon,No,7.29314809336098,0.9385131331587085,5,1
Social Media,4.6008729578676135,0.26945274288729754,6,1,0.11335677597834137,No,Desktop,Night,No,9.84044170484399,0.8778514733450139,47,0
Organic Search,7.32596029511039,0.2892753371748715,5,5,0.5731590323895026,No,Tablet,Afternoon,No,3.287529547098415,0.3617814652992657,86,0
Organic Search,11.225063643532728,0.32672543054670716,7,1,0.47681162843955244,No,Mobile,Afternoon,Yes,4.156717010674709,0.10198891145590316,24,1
Direct,7.987211187068372,0.16599926271202747,6,5,0.4647003962096909,No,Mobile,Morning,No,6.10158224473886,0.038865398140546126,83,1
Organic Search,10.57824276427836,0.5355926579198669,6,2,0.5320139639725923,No,Desktop,Afternoon,Yes,5.845966593861836,0.9473106144717445,68,1
Paid Ads,12.366204013178574,0.3895405724857987,9,1,0.39761641607529363,Yes,Desktop,Night,No,6.865124873482719,0.22956851696101477,32,1
Organic Search,6.2359444428890995,0.33832430615327064,7,2,0.5592930733641691,No,Desktop,Evening,No,4.4402204065341175,0.2540548107995707,64,1
Paid Ads,7.440280240833906,0.17792916781166454,7,2,0.6619455521385081,No,Mobile,Morning,No,5.990388483245466,0.1410441676274673,62,1
Organic Search,14.513578583187485,0.16792540446650703,2,3,0.45416252151457803,No,Desktop,Morning,No,5.523211073552736,0.9819902154066825,96,1
Organic Search,12.333030235939836,0.7871828101444824,6,1,0.4196161184407789,No,Tablet,Evening,No,6.574299787517235,0.7460354637087503,91,1
Direct,2.982786422562942,0.2745485074276861,7,2,0.3324661203033793,No,Mobile,Night,No,2.462647301581421,0.6770334531152464,54,0
Paid Ads,9.16144494818272,0.5221056788418653,4,1,0.5952169589663513,No,Desktop,Afternoon,No,5.558235263483576,0.8369657328777459,20,0
Organic Search,8.001679977019085,0.43252689398003547,10,2,0.7272062719258149,Yes,Mobile,Afternoon,No,5.48457962770107,0.6421383243523664,39,1
Organic Search,10.479359332576287,0.0,7,1,0.45070781686997236,Yes,Mobile,Evening,No,4.176435335918389,0.46613413553883687,6,1
Organic Search,5.765063697544834,0.7584901646277185,4,1,0.5954772607082462,Yes,Mobile,Afternoon,Yes,5.5471492883827525,0.2536456161946369,94,1
Social Media,5.4811748838779835,0.5368167957552232,9,4,0.3959963604913939,No,Desktop,Afternoon,No,5.318108928187506,0.7177184065315922,75,1
Direct,5.971787854119171,0.24646596913903826,9,5,0.4494353913261616,No,Mobile,Morning,No,3.955920674470762,0.9238607120772806,35,1
Paid Ads,6.284214361404702,0.39432669911408097,3,3,0.759141271014993,No,Mobile,Evening,No,6.616612978937733,0.10757164784829076,12,1
Direct,10.445972500427043,0.17016332651926686,4,1,0.3823786651045416,No,Mobile,Morning,No,4.100834791196487,0.0031447122648974313,16,1
Organic Search,4.45639648055336,0.7652440956922268,7,2,0.6457565634012303,Yes,Mobile,Afternoon,Yes,1.0898754820763403,0.26924809702969366,68,0
Direct,6.132158300122043,0.2184684583517071,5,5,0.3926476441466187,No,Mobile,Morning,Yes,3.704526458466848,0.2311746232783508,87,1
Organic Search,2.6329628284956765,0.29538320066106816,7,4,0.11940914048309348,No,Mobile,Morning,No,6.928289462786782,0.16804652884918314,76,1
Organic Search,11.02135347023712,0.25408778437048174,7,7,0.6991752256106496,No,Mobile,Morning,No,5.578924945189209,0.25594641535165563,0,1
Direct,11.813090298293421,0.41607588004183405,2,1,0.7888869398374454,Yes,Mobile,Morning,Yes,5.093664839948694,0.045924772225144905,74,1
Organic Search,7.01877970740864,0.6740633000278629,3,1,0.41282464872927177,No,Tablet,Afternoon,Yes,6.118368269912009,0.8531687152406332,24,1
Social Media,7.106151905560331,0.7578748898190316,2,4,0.7292956855773095,No,Mobile,Morning,Yes,1.5579259407937234,0.6307540882590169,98,0
Direct,9.359665706848691,0.3202007711555407,4,3,0.3054033350952582,No,Mobile,Morning,Yes,3.42671512688311,0.39246267565413384,56,1
Paid Ads,12.423446022134767,0.4756517964635845,1,1,0.7525090796521006,No,Desktop,Afternoon,Yes,8.15163058665063,0.5840822473635645,26,1
Organic Search,9.225832242691752,0.4163810825208147,3,1,0.4336501438429708,No,Desktop,Afternoon,No,4.934703418188442,0.012480077538045364,84,1
Organic Search,5.907374172574656,0.2036781471111884,4,3,0.3657871554551708,No,Mobile,Afternoon,No,5.756732442996948,0.01788585792582509,95,1
Direct,3.1435322840406785,0.8845111149191889,3,3,0.2977454246624084,Yes,Mobile,Evening,No,3.9970713887975977,0.24210676599858227,49,0
Direct,4.654621212009537,0.6725519124592512,8,4,0.834011810931196,No,Desktop,Morning,No,6.8789921548152,0.9240987648136315,73,1
Direct,8.219658350937395,0.43782316994220694,2,6,0.4966120688345922,No,Mobile,Afternoon,Yes,7.825039374238188,0.7533378151889286,91,1
Direct,6.034017430397617,0.7163752186997976,6,6,0.7523357820332455,No,Mobile,Evening,No,5.295248566341522,0.752654672507133,51,1
Direct,8.584903117972276,0.642421342543561,7,1,0.4608175485108413,No,Desktop,Morning,No,1.4571552766653175,0.4284741123613426,21,1
Organic Search,6.341227951291298,0.41637226821635115,5,4,0.4912640199792878,Yes,Desktop,Evening,Yes,4.8960357936686405,0.8870036550222167,28,1
Paid Ads,4.825560706116765,0.46519272106559867,3,1,0.27929271812792544,Yes,Desktop,Morning,No,7.763583198175006,0.39091555632576147,10,1
Paid Ads,4.468905105640786,0.7024252284753308,9,6,0.8152559261133348,Yes,Desktop,Evening,Yes,2.3294142367124633,0.7201912743263643,51,1
Organic Search,12.687063528119689,0.2107692837740639,8,2,0.40844420224983324,Yes,Desktop,Evening,No,1.8780788191243638,0.610951914285691,56,1
Direct,10.666963247550928,0.7347381394642679,6,1,0.5888522776426321,No,Mobile,Evening,No,6.072568718578688,0.6642917032222773,80,1
Direct,13.191553855483875,0.3549774878629768,3,5,0.22951188279981277,No,Mobile,Evening,Yes,3.733738271230054,0.350094045085232,9,0
Organic Search,9.619852702265309,0.7049353485695135,1,5,0.45406381978288396,No,Mobile,Evening,Yes,0.06923152253836307,0.41204228666178555,2,0
Direct,6.710025774155483,0.398954680507436,10,1,0.5606678542200638,No,Mobile,Afternoon,Yes,3.842450015188862,0.25923487895428865,6,1
Organic Search,11.970022767469814,0.4675212444945944,4,5,0.4511390451243952,No,Tablet,Afternoon,No,9.338360809356178,0.4597689911465642,88,1
Organic Search,7.900795995914696,0.39313832868550824,2,1,0.38720241308806824,Yes,Mobile,Evening,No,5.835932508292856,0.01018457300420772,16,1
Organic Search,8.662525310871057,0.2936312754377545,4,1,0.05393431084511807,Yes,Desktop,Afternoon,Yes,7.347208425755518,0.8974274795935013,65,1
Organic Search,7.871526862773443,0.3459890203711376,8,1,0.5317961861115921,Yes,Tablet,Evening,No,2.862915844769207,0.9839727111642772,74,1
Paid Ads,1.0,0.6758222806337134,1,4,0.48596718894046764,No,Mobile,Evening,No,5.472046690527521,0.1888599670797949,13,1
Paid Ads,12.814205036884559,0.0,3,3,0.27914126541671447,No,Mobile,Morning,Yes,4.4140873773903815,0.3577215029947376,14,1
Organic Search,9.47301183787326,0.15220681103903258,5,2,0.5504984563391441,No,Desktop,Afternoon,Yes,3.277476574689055,0.15915682592628932,32,1
Social Media,8.98946918260553,0.25490565812837956,3,2,0.7449054531277444,No,Mobile,Afternoon,No,3.7791970351182966,0.43865843238823954,39,1
Social Media,7.814671813188318,0.18433104151279578,3,3,0.257550535333006,No,Mobile,Evening,Yes,6.298470843547743,0.4542608689987907,46,0
Organic Search,8.490283461158393,0.7019959220830978,4,3,0.15908821410915341,No,Mobile,Night,No,8.959619675106573,0.7648622219322727,89,1
Organic Search,6.208163192461257,0.6515353955706409,2,3,0.18822808427626242,Yes,Mobile,Afternoon,Yes,6.9745394219383865,0.5241817443510142,99,1
Organic Search,9.849738056921813,0.5184063618789232,3,1,0.44830023084177434,No,Desktop,Evening,No,2.1515879612689544,0.4602332613427611,97,1
Social Media,4.0787049668026025,0.27243918650449295,7,4,0.31351390364134246,No,Desktop,Evening,No,4.162104501368611,0.5133698230912429,63,0
Paid Ads,8.558205297411641,0.6670103733588273,5,3,0.7194735424596832,Yes,Mobile,Afternoon,Yes,1.5209061331240683,0.45412602452089124,75,1
Direct,9.684720411713315,0.08237401480089118,5,1,0.2884194574961156,No,Desktop,Evening,No,1.9706310788735975,0.040559539242999376,87,0
Organic Search,7.403992598531291,0.8283965280295873,5,6,0.5443068150023529,No,Mobile,Evening,No,5.791672421999565,0.5303100932262317,82,1
Organic Search,9.112603377413073,0.26307404056448985,8,1,0.31533738397104005,No,Desktop,Afternoon,Yes,2.2020459521658027,0.8561830759568322,31,1
Organic Search,5.025996823297249,0.3475929556317124,8,1,0.42461358258574233,No,Desktop,Afternoon,No,6.20525129241957,0.9861968690015099,50,1
Direct,5.102519687312108,0.3141312299010572,4,1,0.3040523471396873,No,Desktop,Morning,Yes,5.729488085370045,0.5763070067960664,49,0
Paid Ads,8.710151363079179,0.18537851718026463,11,1,0.592585219682488,No,Mobile,Afternoon,Yes,4.152069559227256,0.4625635660202424,2,0
Organic Search,10.035648963863155,0.7850226247873839,3,1,0.6061101366056736,Yes,Desktop,Night,Yes,2.762585103075848,0.3994231056608136,23,1
Paid Ads,2.3754030334948677,0.5577789261568974,7,2,0.612222693896456,No,Desktop,Morning,Yes,6.95361788572824,0.06301984458458354,5,1
Paid Ads,9.5660619053323,0.6430941084159575,7,4,0.4432751638164948,Yes,Desktop,Evening,No,3.402681961079428,0.15680268859537538,51,0
Paid Ads,6.370395498870989,0.15526614558784582,5,3,0.1410992300700259,Yes,Mobile,Morning,Yes,6.189927215975739,0.7089084980741929,91,1
Organic Search,7.421581738077762,0.4361875654007999,3,1,0.35301998187642547,Yes,Desktop,Morning,No,2.4127167206093123,0.9243152985199294,19,1
Organic Search,3.981446229304888,0.5042057378662808,9,4,0.8556997950933316,No,Desktop,Afternoon,Yes,4.546991007051249,0.11947274920185746,1,1
Direct,5.445148279439875,0.4541513047099687,6,5,0.45935703905146147,No,Mobile,Evening,Yes,9.794377656315442,0.9465130290028373,81,1
Organic Search,10.898375976590934,0.16792530978640002,5,2,0.42298929136986685,No,Desktop,Evening,No,3.342548469602,0.4454790455428361,4,1
Direct,8.098590121940639,0.6151000042261274,5,2,0.7701457873911497,No,Desktop,Afternoon,No,3.1530690926283786,0.3013087707929931,83,1
Organic Search,6.851664794871325,0.4243100165570309,8,2,0.5114162403963614,No,Mobile,Evening,Yes,1.4240074274099737,0.15047818831603343,19,0
Direct,7.650534942106896,0.20900719287139943,3,1,0.4599077972521906,No,Mobile,Morning,No,6.291379325302766,0.7714661389760037,9,1
Direct,9.467635473992903,0.0289498920894673,6,1,0.5950173161879074,Yes,Desktop,Night,Yes,9.429808549210392,0.30153191637799703,88,1
Direct,9.321483488490014,0.5213333026979761,5,2,0.8028480111798497,No,Mobile,Evening,No,2.8334692110399455,0.49378706198514555,90,1
Direct,7.774918998809597,0.8900911468263002,5,8,0.2763881469837337,Yes,Mobile,Evening,No,3.3558967371723454,0.7800690709232777,90,0
Paid Ads,11.278877332690005,0.1969491453307437,6,2,0.2428827628402659,Yes,Mobile,Morning,Yes,6.508991272552913,0.8608473667132654,50,1
Paid Ads,10.911387910719998,0.4340894100825932,7,1,0.3743069972616716,No,Mobile,Afternoon,Yes,5.416651904306282,0.03155161118459948,3,1
Organic Search,9.240116087391186,0.6220994558183154,5,4,0.5045403707312992,Yes,Desktop,Afternoon,Yes,6.293186039634034,0.19704834966382845,26,1
Direct,8.163835348730212,0.14606954677973977,4,2,0.6012179302326093,No,Tablet,Evening,Yes,2.917626610780366,0.45082216950330445,61,1
Direct,9.971963285358617,0.3040086461829951,4,4,0.7634464992115015,Yes,Mobile,Evening,No,2.8660294813286216,0.046133803757058,95,1
Direct,8.94280226540355,0.22796824414771963,5,3,0.3700737502239089,No,Desktop,Afternoon,Yes,4.292163515784558,0.27388600605879554,25,0
Direct,11.182400215417843,0.5969353389649092,1,2,0.40691992212856354,No,Mobile,Morning,Yes,4.0355483479994785,0.34371566700238376,81,0
